year,industry,median_gross_monthly_income_including_employer_cpf,median_gross_monthly_income_excluding_employer_cpf
2001,manufacturing,2471,2167
2001,construction,2320,2000
2001,services,2383,2098
2001,wholesale & retail trade,2067,1913
2001,transportation & storage,2030,1875
2001,accommodation & food services,1392,1200
2001,information & communications,3480,3000
2001,financial & insurance services,3504,3033
2001,real estate services,3000,2683
2001,professional services,3500,3033
2001,administrative & support services,1500,1300
2001,public administration & education,3444,3000
2001,health & social services,2349,2058
2001,"arts, entertainment & recreation",2000,1800
2001,"other community, social & personal services",1740,1500
2001,others,2500,2167
2002,manufacturing,2500,2167
2002,construction,2320,2000
2002,services,2341,2058
2002,wholesale & retail trade,2030,1950
2002,transportation & storage,2000,1800
2002,accommodation & food services,1392,1200
2002,information & communications,3596,3125
2002,financial & insurance services,3518,3125
2002,real estate services,2784,2500
2002,professional services,3480,3000
2002,administrative & support services,1508,1300
2002,public administration & education,3384,2917
2002,health & social services,2514,2167
2002,"arts, entertainment & recreation",1972,1700
2002,"other community, social & personal services",1740,1500
2002,others,2500,2167
2003,manufacturing,2514,2167
2003,construction,2320,2000
2003,services,2387,2100
2003,wholesale & retail trade,2088,1950
2003,transportation & storage,2000,1773
2003,accommodation & food services,1392,1200
2003,information & communications,3500,3038
2003,financial & insurance services,3500,3038
2003,real estate services,2764,2500
2003,professional services,3480,3000
2003,administrative & support services,1484,1300
2003,public administration & education,3335,2917
2003,health & social services,2500,2167
2003,"arts, entertainment & recreation",2166,1948
2003,"other community, social & personal services",1740,1500
2003,others,2514,2167
2004,manufacturing,2449,2167
2004,construction,2260,2000
2004,services,2297,2065
2004,wholesale & retail trade,2034,1950
2004,transportation & storage,1921,1750
2004,accommodation & food services,1356,1200
2004,information & communications,3531,3125
2004,financial & insurance services,3500,3125
2004,real estate services,2571,2363
2004,professional services,3390,3000
2004,administrative & support services,1469,1300
2004,public administration & education,3330,2981
2004,health & social services,2288,2058
2004,"arts, entertainment & recreation",2081,1913
2004,"other community, social & personal services",1695,1500
2004,others,2449,2167
2006,manufacturing,2588,2333
2006,construction,2260,2000
2006,services,2449,2167
2006,wholesale & retail trade,2204,2000
2006,transportation & storage,1900,1733
2006,accommodation & food services,1271,1200
2006,information & communications,3673,3250
2006,financial & insurance services,3823,3500
2006,real estate services,2500,2333
2006,professional services,3500,3150
2006,administrative & support services,1356,1200
2006,public administration & education,3406,3021
2006,health & social services,2449,2167
2006,"arts, entertainment & recreation",2034,1813
2006,"other community, social & personal services",1695,1506
2006,others,2684,2375
2007,manufacturing,2825,2500
2007,construction,2449,2167
2007,services,2500,2275
2007,wholesale & retail trade,2184,2000
2007,transportation & storage,2000,1800
2007,accommodation & food services,1378,1250
2007,information & communications,4108,3700
2007,financial & insurance services,4285,4000
2007,real estate services,2691,2500
2007,professional services,3673,3250
