year,university,school,degree,Key,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,gross_monthly_mean.1,gross_monthly_median.1,gross_mthly_25_percentile.1,gross_mthly_75_percentile.1
2013,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,1,97.4,96.1,3701,3200,3727,3350,2900,4000,3727,3350,2900,4000
2013,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),2,97.1,95.7,2850,2700,2938,2700,2700,2900,2938,2700,2700,2900
2013,Nanyang Technological University,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),3,90.9,85.7,3053,3000,3214,3000,2700,3500,3214,3000,2700,3500
2013,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing,4,87.5,87.5,3557,3400,3615,3400,3000,4100,3615,3400,3000,4100
2013,Nanyang Technological University,College of Engineering,Aerospace Engineering,5,95.3,95.3,3494,3500,3536,3500,3100,3816,3536,3500,3100,3816
2013,Nanyang Technological University,College of Engineering,Bioengineering,6,81.3,68.8,2952,2900,3166,3125,2893,3365,3166,3125,2893,3365
2013,Nanyang Technological University,College of Engineering,Chemical and Biomolecular Engineering,7,87.3,85.1,3235,3000,3377,3200,3000,3800,3377,3200,3000,3800
2013,Nanyang Technological University,College of Engineering,Computer Engineering,8,90.3,88.2,3326,3100,3374,3175,3000,3600,3374,3175,3000,3600
2013,Nanyang Technological University,College of Engineering,Civil Engineering,9,94.8,93.8,3091,3000,3182,3100,3000,3380,3182,3100,3000,3380
2013,Nanyang Technological University,College of Engineering,Computer Science,10,92.1,88.5,3249,3000,3306,3125,3000,3600,3306,3125,3000,3600
2013,Nanyang Technological University,College of Engineering,Electrical and Electronic Engineering,11,91,88.7,3133,3000,3187,3100,3000,3440,3187,3100,3000,3440
2013,Nanyang Technological University,College of Engineering,Environmental Engineering,12,84,81.5,3091,3000,3140,3000,3000,3300,3140,3000,3000,3300
2013,Nanyang Technological University,College of Engineering,Information Engineering and Media,13,85.7,79.6,3160,3150,3203,3200,2950,3400,3203,3200,2950,3400
2013,Nanyang Technological University,College of Engineering,Materials Engineering,14,82.5,78.9,2989,3000,3096,3000,2800,3300,3096,3000,2800,3300
2013,Nanyang Technological University,College of Engineering,Mechanical Engineering,15,91.6,89.5,3125,3000,3226,3100,3000,3500,3226,3100,3000,3500
2013,Nanyang Technological University,College of Engineering,Maritime Studies,16,95.6,93.3,3050,3000,3111,3000,2850,3200,3111,3000,2850,3200
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",17,81.6,61.4,2639,2500,2638,2500,2300,2900,2638,2500,2300,2900
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,18,85.1,80.5,2818,2800,2924,3000,2600,3300,2924,3000,2600,3300
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,19,89.4,79.6,2893,2930,2956,3000,2700,3250,2956,3000,2700,3250
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,20,89.9,83.5,3085,3000,3148,3000,2800,3545,3148,3000,2800,3545
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,21,82.7,67.3,3087,3000,3179,3100,2800,3400,3179,3100,2800,3400
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,22,90.6,81.3,2691,2600,2725,2625,2475,3018,2725,2625,2475,3018
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,23,82.4,71.8,3007,3000,3061,3000,2750,3255,3061,3000,2750,3255
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,24,74.4,55.8,2980,3000,3082,3100,2800,3310,3082,3100,2800,3310
2013,Nanyang Technological University,College of Sciences,Biomedical Sciences **,25,na,na,na,na,na,na,na,na,na,na,na,na
2013,Nanyang Technological University,College of Sciences,Biomedical Sciences (Traditional Chinese Medicine) #,26,90.7,88.4,2840,2800,2883,2807,2700,3000,2883,2807,2700,3000
2013,Nanyang Technological University,College of Sciences,Biological Sciences,27,78.6,68.1,2881,2900,3002,3000,2700,3250,3002,3000,2700,3250
2013,Nanyang Technological University,College of Sciences,Chemistry & Biological Chemistry,28,79.8,68.9,2993,3000,3083,3100,2800,3400,3083,3100,2800,3400
2013,Nanyang Technological University,College of Sciences,Mathematics & Economics **,29,na,na,na,na,na,na,na,na,na,na,na,na
2013,Nanyang Technological University,College of Sciences,Mathematical Science,30,86,83.7,3169,3000,3262,3000,2750,3500,3262,3000,2750,3500
2013,Nanyang Technological University,College of Sciences,Physics / Applied Physics,31,80.8,69.2,3164,3000,3208,3300,2900,3400,3208,3300,2900,3400
2013,Nanyang Technological University,College of Sciences,Sports Science and Management,32,68.2,59.1,2968,3000,2985,3000,2700,3400,2985,3000,2700,3400
2013,Nanyang Technological University,National Institute of Education (NIE),Science (with Education),33,100,100,3377,3400,3478,3498,3300,3800,3478,3498,3300,3800
2013,Nanyang Technological University,National Institute of Education (NIE),Arts (with Education),34,100,100,3413,3426,3506,3498,3400,3575,3506,3498,3400,3575
2013,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,35,84.8,70.1,2741,2730,2888,2800,2500,3080,2888,2800,2500,3080
2013,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),36,86.6,74.6,3057,3200,3154,3200,2800,3500,3154,3200,2800,3500
2013,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,37,88.1,76.8,3098,3100,3210,3200,2800,3500,3210,3200,2800,3500
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration,38,88.7,81.7,2960,2868,3062,3000,2700,3370,3062,3000,2700,3370
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),39,94.6,90.3,3404,3050,3512,3200,2800,3800,3512,3200,2800,3800
